plot,pot,Date,volume,campaign,leaf_area,leaf_mass,sla,massarea,starch_mgperg,sugars_mgperg,starch,sugars,tnc,lma_notnc
1,1,7/03/2013,10,1,29.23,0.23,0.012708696,78.68628122,55.21176471,70.40215686,0.055211765,0.070402157,0.125613922,89.99031796
1,1,22/03/2013,10,2,30.28,0.29,0.010441379,95.77278732,152.129771,52.51820945,0.152129771,0.052518209,0.20464798,120.4155958
1,1,8/04/2013,10,3,18.945,0.21,0.009021429,110.8471892,112.1007195,84.55801619,0.11210072,0.084558016,0.196658736,137.9826907
1,1,17/04/2013,10,4,24.72,0.3,0.00824,121.3592233,59.58445946,61.41659411,0.059584459,0.061416594,0.121001054,138.0652659
1,1,16/05/2013,10,6,28.65,0.39,0.007346154,136.1256545,57.49315068,85.25548021,0.057493151,0.08525548,0.142748631,158.7931607
1,2,22/03/2013,15,2,19.65,0.16,0.01228125,81.42493639,45.20792079,90.30022647,0.045207921,0.090300226,0.135508147,94.18820562
1,2,8/04/2013,15,3,21.425,0.21,0.010202381,98.01633606,48.46768049,84.57841088,0.04846768,0.084578411,0.133046091,113.0583011
1,2,17/04/2013,15,4,19.72,0.19,0.010378947,96.34888438,108.5888889,61.50327531,0.108588889,0.061503275,0.170092164,116.0958847
1,2,1/05/2013,15,5,24.24,0.33,0.007345455,136.1386139,77.27631579,74.63765899,0.077276316,0.074637659,0.151913975,160.5245338
1,2,16/05/2013,15,6,14.83,0.19,0.007805263,128.1186784,70.12844037,76.22965214,0.07012844,0.076229652,0.146358093,150.084804
1,4,7/03/2013,20,1,14.62,0.13,0.011246154,88.91928865,146.0560345,67.69758621,0.146056035,0.067697586,0.213753621,113.0934157
1,4,22/03/2013,20,2,14.24,0.13,0.010953846,91.29213483,195.1797753,53.39920365,0.195179775,0.053399204,0.248578979,121.4926549
1,4,8/04/2013,20,3,13.97,0.155,0.009012903,110.9520401,164.7479999,72.746484,0.164748,0.072746484,0.237494484,145.5098196
1,4,17/04/2013,20,4,15.92,0.18,0.008844444,113.0653266,155.1232394,43.2252993,0.155123239,0.043225299,0.198348539,141.0405046
1,4,1/05/2013,20,5,19.99,0.26,0.007688462,130.0650325,97.45754717,67.57385613,0.097457547,0.067573856,0.165031403,155.7723644
1,4,16/05/2013,20,6,19.25,0.21,0.009166667,109.0909091,86.80788177,66.34627094,0.086807882,0.066346271,0.153154153,128.8202681
1,5,7/03/2013,1000,1,21.37,0.15,0.014246667,70.19185774,83.556,70.74141333,0.083556,0.070741413,0.154297413,82.99827723
1,5,22/03/2013,1000,2,50.11,0.42,0.011930952,83.81560567,143.8613445,81.44433561,0.143861345,0.081444336,0.22530568,108.1918423
1,5,8/04/2013,1000,3,32.95,0.315,0.010460317,95.59939302,143.1119135,90.4635704,0.143111914,0.09046357,0.233575484,124.7342576
1,5,17/04/2013,1000,4,35.3,0.34,0.010382353,96.31728045,111.6984733,46.89790458,0.111698473,0.046897905,0.158596378,114.4721486
1,5,1/05/2013,1000,5,27.54,0.28,0.009835714,101.6702977,129.5416667,65.82484954,0.129541667,0.06582485,0.195366516,126.3560364
1,5,16/05/2013,1000,6,34.06,0.39,0.008733333,114.5038168,108.2226563,61.78922819,0.108222656,0.061789228,0.170011884,137.9583812
1,6,7/03/2013,25,1,20.54,0.21,0.009780952,102.2395326,189.4302326,48.87060724,0.189430233,0.048870607,0.23830084,134.2256077
1,6,22/03/2013,25,2,11.3,0.12,0.009416667,106.1946903,168.6533333,49.43417278,0.168653333,0.049434173,0.218087506,135.8140343
